"463","訓","","言","10","4","","","クン"
"464","勲","勳","力","15","S","","","クン"
"465","薫","薰","艸","16","S","","","クン、かお-る"
"466","軍","","車","9","4","","","グン"
"467","郡","","邑","10","4","","","グン"
"468","群","","羊","13","4","","","グン、む-れる、む-れ、（むら）"
"469","兄","","儿","5","2","","","ケイ、（キョウ）、あに"
"470","刑","","刀","6","S","","","ケイ"
"471","形","","彡","7","2","","","ケイ、ギョウ、かた、かたち"
"472","系","","糸","7","6","","","ケイ"
"473","径","徑","彳","8","4","","","ケイ"
"474","茎","莖","艸","8","S","","","ケイ、くき"
"475","係","","人","9","3","","","ケイ、かか-る、かかり"
"476","型","","土","9","5","","","ケイ、かた"
"477","契","","大","9","S","","","ケイ、ちぎ-る"
"478","計","","言","9","2","","","ケイ、はか-る、はか-らう"
"479","恵","惠","心","10","S","","","ケイ、エ、めぐ-む"
"480","啓","","口","11","S","","","ケイ"
"481","掲","揭","手","11","S","","","ケイ、かか-げる"
"482","渓","溪","水","11","S","1981","","ケイ"
"483","経","經","糸","11","5","","","ケイ、キョウ、へ-る"
"484","蛍","螢","虫","11","S","1981","","ケイ、ほたる"
"485","敬","","攴","12","6","","","ケイ、うやま-う"
"486","景","","日","12","4","","","ケイ"
"487","軽","輕","車","12","3","","","ケイ、かる-い、かろ-やか"
"488","傾","","人","13","S","","","ケイ、かたむ-く、かたむ-ける"
"489","携","","手","13","S","","","ケイ、たずさ-える、たずさ-わる"
"490","継","繼","糸","13","S","","","ケイ、つ-ぐ"
"491","詣","","言","13","S","2010","","ケイ、もう-でる"
"492","慶","","心","15","S","","","ケイ"
"493","憬","","心","15","S","2010","","ケイ"
"494","稽 [6][12]","","禾","15","S","2010","","ケイ"
"495","憩","","心","16","S","","","ケイ、いこ-い、いこ-う"
"496","警","","言","19","6","","","ケイ"
"497","鶏","鷄","鳥","19","S","","","ケイ、にわとり"
"498","芸","藝","艸","7","4","","","ゲイ"
